profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
abra09_2022-07-26_5m,1,,71.58231108,39.65175486,3864.187,2022-07-26 11:34:33.1 UTC+06:00
abra09_2022-07-26_5m,2,,71.58236852,39.65175892,3864.427,2022-07-26 11:35:02.1 UTC+06:00
abra09_2022-07-26_5m,3,,71.58242481,39.65176578,3865.014,2022-07-26 11:35:25.2 UTC+06:00
abra09_2022-07-26_5m,4,,71.58248217,39.65177111,3865.709,2022-07-26 11:35:54.1 UTC+06:00
abra09_2022-07-26_5m,5,,71.58253849,39.65177701,3866.369,2022-07-26 11:36:19.1 UTC+06:00
abra09_2022-07-26_5m,6,,71.58259683,39.65178218,3866.712,2022-07-26 11:36:42.1 UTC+06:00
abra09_2022-07-26_5m,7,,71.58265425,39.65178763,3867.038,2022-07-26 11:37:03.1 UTC+06:00
abra09_2022-07-26_5m,8,,71.58271191,39.65179294,3866.85,2022-07-26 11:37:24.1 UTC+06:00
abra09_2022-07-26_5m,9,,71.5827698,39.65179711,3866.658,2022-07-26 11:37:43.2 UTC+06:00
abra09_2022-07-26_5m,10,,71.58282903,39.65180133,3866.398,2022-07-26 11:38:05.2 UTC+06:00
abra09_2022-07-26_5m,11,,71.58288551,39.65180542,3866.221,2022-07-26 11:38:28.1 UTC+06:00
abra09_2022-07-26_5m,12,,71.58294362,39.65181003,3865.718,2022-07-26 11:38:51.2 UTC+06:00
abra09_2022-07-26_5m,13,,71.58299977,39.65181425,3864.964,2022-07-26 11:39:19.2 UTC+06:00
abra09_2022-07-26_5m,14,,71.58305718,39.65181856,3863.957,2022-07-26 11:39:51.2 UTC+06:00
abra09_2022-07-26_5m,15,,71.58311255,39.65182273,3862.886,2022-07-26 11:40:15.2 UTC+06:00
abra09_2022-07-26_5m,16,,71.58317116,39.65182687,3862.077,2022-07-26 11:40:48.1 UTC+06:00
abra09_2022-07-26_5m,17,,71.58322766,39.65183252,3861.633,2022-07-26 11:41:15.2 UTC+06:00
abra09_2022-07-26_5m,18,,71.58328542,39.65183696,3861.375,2022-07-26 11:41:38.1 UTC+06:00
abra09_2022-07-26_5m,19,,71.58334293,39.65184213,3861.751,2022-07-26 11:41:58.1 UTC+06:00
abra09_2022-07-26_5m,20,,71.5834002,39.65184508,3862.441,2022-07-26 11:42:25.2 UTC+06:00
abra09_2022-07-26_5m,21,,71.58345728,39.65184953,3863.342,2022-07-26 11:42:59.2 UTC+06:00
abra09_2022-07-26_5m,22,,71.5835148,39.65185361,3864.259,2022-07-26 11:43:28.1 UTC+06:00
abra09_2022-07-26_5m,23,,71.58357076,39.65186141,3865.222,2022-07-26 11:43:51.2 UTC+06:00
abra09_2022-07-26_5m,24,,71.58362798,39.65186587,3866.016,2022-07-26 11:44:20.1 UTC+06:00
abra09_2022-07-26_5m,25,,71.58369802,39.65187317,3867.014,2022-07-26 11:44:43.2 UTC+06:00
abra09_2022-07-26_5m,26,,71.58375372,39.65188503,3867.802,2022-07-26 11:45:05.2 UTC+06:00
abra09_2022-07-26_5m,27,,71.58380796,39.65189713,3868.51,2022-07-26 11:45:26.2 UTC+06:00
abra09_2022-07-26_5m,28,,71.5838627,39.65191427,3869.013,2022-07-26 11:45:52.2 UTC+06:00
abra09_2022-07-26_5m,29,,71.58391582,39.65193067,3869.134,2022-07-26 11:46:18.2 UTC+06:00
abra09_2022-07-26_5m,30,,71.58397092,39.65194548,3868.957,2022-07-26 11:46:42.2 UTC+06:00
abra09_2022-07-26_5m,31,,71.58402627,39.65195878,3868.692,2022-07-26 11:47:03.2 UTC+06:00
abra09_2022-07-26_5m,32,,71.58408068,39.65197605,3868.571,2022-07-26 11:47:25.2 UTC+06:00
abra09_2022-07-26_5m,33,,71.5841341,39.65199313,3868.205,2022-07-26 11:47:53.2 UTC+06:00
abra09_2022-07-26_5m,34,,71.58418676,39.65201179,3867.97,2022-07-26 11:48:25.2 UTC+06:00
abra09_2022-07-26_5m,35,,71.58424049,39.65202735,3867.652,2022-07-26 11:49:01.2 UTC+06:00
abra09_2022-07-26_5m,36,,71.58429389,39.65204514,3867.443,2022-07-26 11:49:26.2 UTC+06:00
abra09_2022-07-26_5m,37,,71.58434724,39.65206352,3867.297,2022-07-26 11:49:49.2 UTC+06:00
abra09_2022-07-26_5m,38,,71.58440179,39.65207886,3867.048,2022-07-26 11:50:10.2 UTC+06:00
abra09_2022-07-26_5m,39,,71.58445738,39.65209431,3867.238,2022-07-26 11:50:29.2 UTC+06:00
abra09_2022-07-26_5m,40,,71.5845109,39.65211024,3866.913,2022-07-26 11:50:57.2 UTC+06:00
abra09_2022-07-26_5m,41,,71.58456582,39.65212629,3867.166,2022-07-26 11:51:19.2 UTC+06:00
abra09_2022-07-26_5m,42,,71.58461972,39.65214288,3867.717,2022-07-26 11:51:48.2 UTC+06:00
abra09_2022-07-26_5m,43,,71.58467194,39.65215857,3868.648,2022-07-26 11:52:13.2 UTC+06:00
abra09_2022-07-26_5m,44,,71.5847213,39.65217355,3870.67,2022-07-26 11:52:58.2 UTC+06:00
abra09_2022-07-26_5m,45,,71.58477536,39.65218882,3871.688,2022-07-26 11:53:23.2 UTC+06:00
abra09_2022-07-26_5m,46,,71.58482265,39.65221191,3872.735,2022-07-26 11:53:49.2 UTC+06:00
abra09_2022-07-26_5m,47,,71.58487109,39.65223371,3873.802,2022-07-26 11:54:20.2 UTC+06:00
abra09_2022-07-26_5m,48,1,71.58492224,39.65225506,3874.146,2022-07-26 11:54:50.2 UTC+06:00
abra09_2022-07-26_5m,49,2,71.5849982,39.65228625,3879.034,2022-07-26 13:17:40.8 UTC+06:00
abra09_2022-07-26_5m,50,3,71.58504299,39.65230709,3880.452,2022-07-26 13:18:04.8 UTC+06:00
