profile name,electrodes,geophones,Longitude,Latitude,Ellipsoidal height,Averaging start
abra06_2021-08-24_5m,1,,71.58361521,39.6486946,3850.0,
abra06_2021-08-24_5m,2,,71.58356301,39.64866636,3850.2,
abra06_2021-08-24_5m,3,,71.58351081,39.64863811,3850.3,
abra06_2021-08-24_5m,4,,71.5834586,39.64860987,3850.1,
abra06_2021-08-24_5m,5,,71.5834064,39.64858162,3850.1,
abra06_2021-08-24_5m,6,,71.5833542,39.64855338,3849.9,
abra06_2021-08-24_5m,7,,71.58330199,39.64852513,3849.9,
abra06_2021-08-24_5m,8,,71.58324979,39.64849689,3850.1,
abra06_2021-08-24_5m,9,,71.58319759,39.64846864,3849.7,
abra06_2021-08-24_5m,10,,71.58314538,39.6484404,3849.7,
abra06_2021-08-24_5m,11,,71.58309318,39.64841215,3850.0,
abra06_2021-08-24_5m,12,,71.58304098,39.64838391,3850.8,
abra06_2021-08-24_5m,13,,71.58298878,39.64835566,3851.0,
abra06_2021-08-24_5m,14,,71.58293657,39.64832741,3851.6,
abra06_2021-08-24_5m,15,,71.58288437,39.64829917,3852.2,
abra06_2021-08-24_5m,16,,71.58283217,39.64827092,3852.6,
abra06_2021-08-24_5m,17,,71.58277996,39.64824268,3853.4,
abra06_2021-08-24_5m,18,,71.58272776,39.64821443,3854.4,
abra06_2021-08-24_5m,19,,71.58267556,39.64818619,3855.5,
abra06_2021-08-24_5m,20,,71.58262335,39.64815794,3855.4,
abra06_2021-08-24_5m,21,,71.58257115,39.6481297,3855.8,
abra06_2021-08-24_5m,22,,71.58251895,39.64810145,3856.7,
abra06_2021-08-24_5m,23,,71.58246674,39.64807321,3855.7,
abra06_2021-08-24_5m,24,,71.58241454,39.64804496,3856.3,
abra06_2021-08-24_5m,25,,71.58236234,39.64801672,3857.2,
abra06_2021-08-24_5m,26,,71.58231014,39.64798847,3859.1,
abra06_2021-08-24_5m,27,,71.58225793,39.64796023,3859.8,
abra06_2021-08-24_5m,28,,71.58220573,39.64793198,3860.6,
abra06_2021-08-24_5m,29,,71.58215353,39.64790374,3859.9,
abra06_2021-08-24_5m,30,,71.58210132,39.64787549,3858.2,
abra06_2021-08-24_5m,31,,71.58204912,39.64784724,3858.8,
abra06_2021-08-24_5m,32,,71.58199692,39.647819,3858.8,
abra06_2021-08-24_5m,33,,71.58194471,39.64779075,3859.1,
abra06_2021-08-24_5m,34,,71.58189251,39.64776251,3861.1,
abra06_2021-08-24_5m,35,,71.58184031,39.64773426,3862.8,
abra06_2021-08-24_5m,36,,71.5817881,39.64770602,3863.5,
abra06_2021-08-24_5m,37,,71.5817359,39.64767777,3864.1,
abra06_2021-08-24_5m,38,,71.5816837,39.64764953,3864.9,
abra06_2021-08-24_5m,39,,71.58163149,39.64762128,3865.2,
abra06_2021-08-24_5m,40,,71.58157929,39.64759304,3865.6,
abra06_2021-08-24_5m,41,,71.58152709,39.64756479,3865.9,
abra06_2021-08-24_5m,42,,71.58147489,39.64753655,3866.1,
abra06_2021-08-24_5m,43,,71.58142268,39.6475083,3866.2,
abra06_2021-08-24_5m,44,,71.5813721,39.64748093,3866.3,
abra06_2021-08-24_5m,45,,71.58186552,39.64774529,3866.3,
abra06_2021-08-24_5m,46,,71.58217944,39.6479163,3865.6,
abra06_2021-08-24_5m,47,,71.58337802,39.64856079,3865.1,
abra06_2021-08-24_5m,48,,71.58312227,39.64841955,3864.5,
